,Date,Close
472,2018-02-02,8830.75
473,2018-02-01,9170.54
474,2018-01-31,10221.1
475,2018-01-30,10106.3
476,2018-01-29,11296.4
477,2018-01-28,11786.3
478,2018-01-27,11440.7
479,2018-01-26,11171.4
480,2018-01-25,11259.4
481,2018-01-24,11359.4
482,2018-01-23,10868.4
483,2018-01-22,10931.4
484,2018-01-21,11600.1
485,2018-01-20,12899.2
486,2018-01-19,11607.4
487,2018-01-18,11474.9
488,2018-01-17,11188.6
489,2018-01-16,11490.5
490,2018-01-15,13819.8
491,2018-01-14,13772.0
492,2018-01-13,14360.2
493,2018-01-12,13980.6
494,2018-01-11,13405.8
495,2018-01-10,14973.3
496,2018-01-09,14595.4
497,2018-01-08,15170.1
498,2018-01-07,16477.6
499,2018-01-06,17527.0
500,2018-01-05,17429.5
501,2018-01-04,15599.2
502,2018-01-03,15201.0
503,2018-01-02,14982.1
504,2018-01-01,13657.2
505,2017-12-31,14156.4
506,2017-12-30,12952.2
507,2017-12-29,14656.2
508,2017-12-28,14606.5
509,2017-12-27,15838.5
510,2017-12-26,16099.8
511,2017-12-25,14026.6
512,2017-12-24,13925.8
513,2017-12-23,14699.2
514,2017-12-22,13831.8
515,2017-12-21,15802.9
516,2017-12-20,16624.6
517,2017-12-19,17776.7
518,2017-12-18,19114.2
519,2017-12-17,19140.8
520,2017-12-16,19497.4
521,2017-12-15,17706.9
522,2017-12-14,16564.0
523,2017-12-13,16408.2
524,2017-12-12,17415.4
525,2017-12-11,16936.8
526,2017-12-10,15455.4
527,2017-12-09,15178.2
528,2017-12-08,16569.4
529,2017-12-07,17899.7
530,2017-12-06,14291.5
531,2017-12-05,11916.7
532,2017-12-04,11657.2
533,2017-12-03,11323.2
534,2017-12-02,11074.6
535,2017-12-01,10975.6
536,2017-11-30,10233.6
537,2017-11-29,9888.61
538,2017-11-28,10058.8
539,2017-11-27,9818.35
540,2017-11-26,9330.55
541,2017-11-25,8790.92
542,2017-11-24,8253.69
543,2017-11-23,8038.77
544,2017-11-22,8253.55
545,2017-11-21,8071.26
546,2017-11-20,8200.64
547,2017-11-19,8036.49
548,2017-11-18,7790.15
549,2017-11-17,7708.99
550,2017-11-16,7871.69
551,2017-11-15,7315.54
552,2017-11-14,6635.75
553,2017-11-13,6559.49
554,2017-11-12,5950.07
555,2017-11-11,6357.6
556,2017-11-10,6618.14
557,2017-11-09,7143.58
558,2017-11-08,7459.69
559,2017-11-07,7144.38
560,2017-11-06,7022.76
561,2017-11-05,7407.41
562,2017-11-04,7379.95
563,2017-11-03,7207.76
564,2017-11-02,7078.5
565,2017-11-01,6767.31
566,2017-10-31,6468.4
567,2017-10-30,6130.53
568,2017-10-29,6153.85
569,2017-10-28,5753.09
570,2017-10-27,5780.9
571,2017-10-26,5904.83
572,2017-10-25,5750.8
573,2017-10-24,5526.64
574,2017-10-23,5930.32
575,2017-10-22,6008.42
576,2017-10-21,6031.6
577,2017-10-20,6011.45
578,2017-10-19,5708.52
579,2017-10-18,5590.69
580,2017-10-17,5605.51
581,2017-10-16,5725.59
582,2017-10-15,5678.19
583,2017-10-14,5831.79
584,2017-10-13,5647.21
585,2017-10-12,5446.91
586,2017-10-11,4826.48
587,2017-10-10,4781.99
588,2017-10-09,4772.02
589,2017-10-08,4610.48
590,2017-10-07,4426.89
591,2017-10-06,4370.81
592,2017-10-05,4328.41
593,2017-10-04,4229.36
594,2017-10-03,4317.48
595,2017-10-02,4409.32
596,2017-10-01,4403.74
597,2017-09-30,4338.71
598,2017-09-29,4163.07
599,2017-09-28,4174.73
600,2017-09-27,4200.67
601,2017-09-26,3892.35
602,2017-09-25,3926.07
603,2017-09-24,3682.84
604,2017-09-23,3792.4
605,2017-09-22,3630.7
606,2017-09-21,3631.04
607,2017-09-20,3905.95
608,2017-09-19,3924.97
609,2017-09-18,4065.2
610,2017-09-17,3582.88
611,2017-09-16,3625.04
612,2017-09-15,3637.52
613,2017-09-14,3154.95
614,2017-09-13,3882.59
615,2017-09-12,4130.81
616,2017-09-11,4161.27
617,2017-09-10,4122.94
618,2017-09-09,4226.06
619,2017-09-08,4228.75
620,2017-09-07,4599.88
621,2017-09-06,4597.12
622,2017-09-05,4376.53
623,2017-09-04,4236.31
624,2017-09-03,4582.96
625,2017-09-02,4578.77
626,2017-09-01,4892.01
627,2017-08-31,4703.39
628,2017-08-30,4565.3
629,2017-08-29,4579.02
630,2017-08-28,4382.66
631,2017-08-27,4382.88
632,2017-08-26,4352.4
633,2017-08-25,4371.6
634,2017-08-24,4334.68
635,2017-08-23,4151.52
636,2017-08-22,4100.52
637,2017-08-21,4001.74
638,2017-08-20,4087.66
